629055009	20170212	201702	2017	2017.1151	USACVL	UNITED STATES	USA					CVL			JUD	ADVOCATE						JUD			1	173	173	17	4	-5.0	4	1	4	-4.82758620689656	3	Albuquerque, New Mexico, United States	US	USNM	NM001	35.0845	-106.651	928679	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	3	Albuquerque, New Mexico, United States	US	USNM	NM001	35.0845	-106.651	928679	20170219080000	http://www.santafenewmexican.com/news/local_news/report-ice-arrested-five-immigrants-in-albuquerque/article_c3fea43d-60c7-5b69-9065-ca87e7d66696.html
629055010	20170218	201702	2017	2017.1315	COP	POLICE						COP			GBR	UNITED KINGDOM	GBR								1	090	090	09	2	-2.0	2	2	2	-3.06725664133163	4	Cupar, Fife, United Kingdom	UK	UKV1	40177	56.3167	-3.01667	-2593910	4	Dunfermline, Fife, United Kingdom	UK	UKV1	40176	56.0833	-3.46667	-2594879	4	Cupar, Fife, United Kingdom	UK	UKV1	40177	56.3167	-3.01667	-2593910	20170219080000	http://www.mirror.co.uk/news/uk-news/dad-missing-corrie-mckeague-reveals-9848221
629055011	20170218	201702	2017	2017.1315	COP	POLICE						COP			GBR	UNITED KINGDOM	GBR								1	090	090	09	2	-2.0	2	2	2	-3.06725664133163	4	Dunfermline, Fife, United Kingdom	UK	UKV1	40176	56.0833	-3.46667	-2594879	4	Dunfermline, Fife, United Kingdom	UK	UKV1	40176	56.0833	-3.46667	-2594879	4	Dunfermline, Fife, United Kingdom	UK	UKV1	40176	56.0833	-3.46667	-2594879	20170219080000	http://www.mirror.co.uk/news/uk-news/dad-missing-corrie-mckeague-reveals-9848221
629055012	20170218	201702	2017	2017.1315	IGOUNOKID	UNICEF		UNO				IGO			MOSMIL	ISLAMIC				MOS		MIL			1	084	084	08	2	7.0	10	1	10	0.59405940594059	4	Sultan Kudarat, Maguindanao, Philippines	RP	RP56	67175	7.22889	124.258	-2454323	4	Sultan Kudarat, Maguindanao, Philippines	RP	RP56	67175	7.22889	124.258	-2454323	4	Sultan Kudarat, Maguindanao, Philippines	RP	RP56	67175	7.22889	124.258	-2454323	20170219080000	http://news.mb.com.ph/2017/02/19/unicef-milf-start-process-of-releasing-child-warriors/
629055013	20170219	201702	2017	2017.1342											AFG	AFGHANISTAN	AFG								0	012	012	01	1	-0.4	2	1	2	-7.51054852320675	0								4	Multan, Punjab, Pakistan	PK	PK04	23670	30.1956	71.4753	-2769709	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20170219080000	https://www.yahoo.com/news/top-asian-news-6-43-m-gmt-064302773.html
629055014	20170219	201702	2017	2017.1342											AFG	AFGHANISTAN	AFG								1	084	084	08	2	7.0	1	1	1	-7.14285714285714	0								4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20170219080000	http://www.khaama.com/afghan-forces-kill-top-al-qaeda-figure-ex-leader-of-pakistani-militants-02918
629055015	20170219	201702	2017	2017.1342											AFG	AFGHANISTAN	AFG								1	084	084	08	2	7.0	1	1	1	-7.14285714285714	0								4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	1	Pakistan	PK	PK		30	70	PK	20170219080000	http://www.khaama.com/afghan-forces-kill-top-al-qaeda-figure-ex-leader-of-pakistani-militants-02918
629055016	20170219	201702	2017	2017.1342											AFR	AFRICA	AFR								0	010	010	01	1	0.0	4	1	4	-1.26582278481013	0								4	Qunu, Eastern Cape, South Africa	SF	SF05	77323	-31.7832	28.6159	-1274476	4	Madiba, North-West, South Africa	SF	SF10	77348	-26.0102	25.5354	-1255435	20170219080000	http://www.news24.com/SouthAfrica/News/tussle-over-madibas-gravesite-20170218
629055017	20170219	201702	2017	2017.1342											AGR	FARM LABOURER						AGR			1	010	010	01	1	0.0	5	1	5	-9.31174089068826	0								0								0								20170219080000	http://www.dnaindia.com/india/report-leopard-beaten-to-death-burnt-in-guj-village-one-detained-2327965
629055018	20170219	201702	2017	2017.1342											AUS	AUSTRALIA	AUS								1	173	173	17	4	-5.0	2	1	2	-3.52112676056338	0								4	Junee, Tasmania, Australia	AS	AS06	5332	-42.75	146.65	-1580609	4	Junee, Tasmania, Australia	AS	AS06	5332	-42.75	146.65	-1580609	20170219080000	http://www.mygc.com.au/boy-sitting-back-ute-dies-vehicle-rolls-rural-property/
